step	integral_value
0	1.67481	90.9214
1	1.67481	90.9214
2	1.67481	90.9214
3	1.67481	90.9214
4	1.67481	90.9214
5	1.67481	90.9214
6	1.67481	90.9214
7	1.67481	90.9214
8	1.67481	90.9214
9	1.67481	90.9214
10	1.67481	90.9214
11	1.67481	90.9214
12	1.67481	90.9214
13	1.67481	90.9214
14	1.67481	90.9214
15	1.67481	90.9214
16	1.67481	90.9214
17	1.67481	90.9214
18	1.67481	90.9214
19	1.67481	90.9214
20	1.67481	90.9214
21	1.67481	90.9214
22	0.356878	262.115
23	0.356878	262.115
24	1.12915	178.744
25	1.12915	178.744
26	1.12915	178.744
27	1.12915	178.744
28	1.12915	178.744
29	1.12915	178.744
30	-0.534982	6.86653
31	-0.534982	6.86653
32	0.70007	4.97587
33	0.70007	4.97587
34	0.70007	4.97587
35	0.70007	4.97587
36	0.262178	54.7653
37	0.262178	54.7653
38	0.262178	54.7653
39	0.262178	54.7653
40	0.262178	54.7653
41	0.262178	54.7653
42	0.262178	54.7653
43	0.262178	54.7653
44	0.262178	54.7653
45	0.262178	54.7653
46	0.262178	54.7653
47	0.262178	54.7653
48	0.262178	54.7653
49	0.262178	54.7653
50	0.262178	54.7653
51	0.262178	54.7653
52	0.262178	54.7653
53	0.262178	54.7653
54	-0.0739747	95.802
55	-0.0739747	95.802
56	-0.0739747	95.802
57	-0.0739747	95.802
58	-0.0739747	95.802
59	-0.0739747	95.802
60	-0.0739747	95.802
61	-0.0739747	95.802
62	-0.0637554	3.96449
63	-0.0637554	3.96449
64	-0.0637554	3.96449
65	-0.0637554	3.96449
66	-0.0637554	3.96449
67	-0.0872559	0.937576
68	1.01248	5.92162
69	1.01248	5.92162
70	1.01248	5.92162
71	1.01248	5.92162
72	1.01248	5.92162
73	-0.0281677	10.6721
74	-0.0281677	10.6721
75	-0.0281677	10.6721
76	-0.0281677	10.6721
77	-0.0281677	10.6721
78	-0.547377	4.80503
79	0.127348	2.73318
80	0.127348	2.73318
81	0.127348	2.73318
82	0.127348	2.73318
83	-0.19707	8.43096
84	-0.19707	8.43096
85	-0.19707	8.43096
86	-0.19707	8.43096
87	-0.19707	8.43096
88	-0.19707	8.43096
89	-0.590753	1.16582
90	0.297877	0.661704
91	0.297877	0.661704
92	-0.11204	0.280946
93	-0.366721	3.13058
94	0.401701	8.8508
95	0.401701	8.8508
96	0.401701	8.8508
97	0.401701	8.8508
98	0.401701	8.8508
99	0.401701	8.8508
100	0.401701	8.8508
101	0.401701	8.8508
102	0.401701	8.8508
103	0.401701	8.8508
104	0.401701	8.8508
105	0.401701	8.8508
106	0.401701	8.8508
107	0.401701	8.8508
108	-0.209155	11.8076
109	-0.209155	11.8076
110	-0.209155	11.8076
111	-0.209155	11.8076
112	-0.209155	11.8076
113	-0.209155	11.8076
114	-0.209155	11.8076
115	-0.209155	11.8076
116	1.71425	11.5538
117	1.71425	11.5538
118	1.71425	11.5538
119	1.71425	11.5538
120	1.71425	11.5538
121	1.71425	11.5538
122	1.71425	11.5538
123	1.71425	11.5538
124	1.71425	11.5538
125	0.270712	15.002
126	0.270712	15.002
127	0.270712	15.002
128	0.270712	15.002
129	-0.616061	11.5563
130	-0.616061	11.5563
131	-0.616061	11.5563
132	-0.1453	23.7082
133	1.37899	0.201593
134	0.0632414	1.10084
135	0.0632414	1.10084
136	0.0632414	1.10084
137	0.0632414	1.10084
138	0.0632414	1.10084
